Year,Pounds,Metric Tons,Dollars,Collection
1950,20062900,9100,9207583,Commercial
1951,18745900,8503,8323725,Commercial
1952,18629100,8450,10831621,Commercial
1953,23618600,10713,10475830,Commercial
1954,17631800,7998,7976348,Commercial
1955,22124500,10036,11449144,Commercial
1956,20066400,9102,10822775,Commercial
1957,21005900,9528,10187847,Commercial
1958,18976500,8608,9139561,Commercial
1959,24644300,11179,11805112,Commercial
1960,26599300,12065,9266110,Commercial
1961,27460800,12456,10403992,Commercial
1962,24635700,11175,10023872,Commercial
1963,19937600,9044,9256647,Commercial
1964,16913492,7672,9244733,Commercial
1965,20069785,9104,13182932,Commercial
1966,15973900,7246,7624506,Commercial
1967,10243100,4646,7765021,Commercial
1968,12069800,5475,13353147,Commercial
1969,7409700,3361,8104856,Commercial
1970,5851400,2654,7856703,Commercial
1971,5406300,2452,7991566,Commercial
1972,5851800,2654,11416221,Commercial
1973,5289600,2399,9485411,Commercial
1974,6015900,2729,9266474,Commercial
1975,9751600,4423,17912143,Commercial
1976,19588600,8885,34572259,Commercial
1977,25830400,11717,41951936,Commercial
1978,32159489,14587,79547303,Commercial
1979,29651100,13450,98130367,Commercial
1980,28162112,12774,108599672,Commercial
1981,25953453,11772,105865178,Commercial
1982,19936407,9043,74590399,Commercial
1983,19234956,8725,108267245,Commercial
1984,16766905,7605,92718530,Commercial
1985,14785450,6707,71269167,Commercial
1986,19021621,8628,93784058,Commercial
1987,30911401,14021,128305876,Commercial
1988,30210907,13704,127016241,Commercial
1989,33011648,14974,129981523,Commercial
1990,38554418,17488,149061437,Commercial
1991,37926350,17203,153718353,Commercial
1992,31319749,14207,153398017,Commercial
1993,16080367,7294,97119290,Commercial
1994,16792947,7617,84142743,Commercial
1995,17413116,7899,89805228,Commercial
1996,17516342,7945,98814170,Commercial
1997,13633283,6184,89476463,Commercial
1998,12124978,5500,75113896,Commercial
1999,22021855,9989,120984450,Commercial
2000,32162513,14589,160885844,Commercial
2001,46413663,21053,172582812,Commercial
2002,52671560,23892,202092361,Commercial
2003,55967752,25387,229096518,Commercial
2004,66940800,30364,318391007,Commercial
2005,57586670,26121,432584207,Commercial
2006,60122764,27272,386341021,Commercial
2007,58453624,26514,386069752,Commercial
2008,53759543,24385,371980614,Commercial
2009,57616479,26135,373156425,Commercial
2010,57165980,25930,451883543,Commercial
2011,58816061,26679,581437034,Commercial
2012,56957817,25836,559675815,Commercial
2013,40986197,18591,467134618,Commercial
2014,33821668,15341,424515609,Commercial
2015,35741224,16212,440375398,Commercial
2016,40697451,18460,488206370,Commercial
2017,51852806,23520,510563281,Commercial
2018,57950975,26286,533054360,Commercial
2019,60736653,27550,570585375,Commercial
2020,48969815,22213,486765867,Commercial
2021,43251704,19619,670948250,Commercial
